City,Cloudiness,Country,Date,Humidity,Max_Temp,Lat,Lng,Wind_Speed
Ponta Delgada,75,PT,1588039151,93,62.6,37.73,-25.67,6.2
Stony Plain,75,CA,1588039151,37,53.6,53.53,-114.0,3.6
Rikitea,25,PF,1588039151,82,77.144,-23.12,-134.97,6.03
Talnakh,25,RU,1588039151,85,21.2,69.49,88.4,4.0
Grindavik,75,IS,1588039152,75,41.0,63.84,-22.43,0.5
Lompoc,1,US,1588039152,67,64.994,34.64,-120.46,5.7
Mnogovershinnyy,22,RU,1588039152,81,35.222,53.94,139.92,1.34
Rapid Valley,1,US,1588039152,45,66.2,44.06,-103.15,8.2
Hong Kong,0,HK,1588039069,37,82.004,22.29,114.16,4.92
Butaritari,100,KI,1588039152,84,80.798,3.07,172.79,6.52
Iquique,90,CL,1588039124,68,66.2,-20.22,-70.14,2.6
Hilo,1,US,1588039152,58,82.4,19.73,-155.09,4.6
Xiazhen,0,CN,1588039153,28,68.27,34.8,117.11,4.78
Mataura,36,NZ,1588039153,59,60.008,-46.19,168.86,4.92
Vaini,75,TO,1588039153,74,78.80000000000001,-21.2,-175.2,6.7
Magrath,75,CA,1588039153,75,46.004000000000005,49.42,-112.87,8.2
Sovetskiy,98,RU,1588039153,90,38.894,61.36,63.58,2.53
Ribeira Grande,21,PT,1588039153,71,57.866,38.52,-28.7,6.51
Airai,49,TL,1588039153,38,71.672,-8.93,125.41,1.92
Bluff,78,NZ,1588039154,59,60.008,-46.6,168.33,4.92
Itarema,100,BR,1588039154,87,76.49600000000001,-2.92,-39.92,3.31
George Town,20,MY,1588039154,88,84.2,5.41,100.34,0.5
Punta Arenas,20,CL,1588039154,92,30.2,-53.15,-70.92,2.1
Saint Paul Harbor,1,US,1588039154,56,51.8,57.79,-152.41,3.1
Yazykovo,79,RU,1588039154,89,44.852000000000004,55.22,56.14,2.99
Oksovskiy,95,RU,1588039154,97,27.104,62.61,39.9,1.69
Busselton,45,AU,1588039154,44,64.004,-33.65,115.33,5.32
The Valley,20,AI,1588039117,69,80.6,18.22,-63.06,4.6
Provideniya,8,RU,1588039155,68,28.4,64.38,-173.3,1.0
Ushuaia,98,AR,1588039155,81,42.8,-54.8,-68.3,6.7
Mar del Plata,90,AR,1588039115,100,60.998000000000005,-38.0,-57.56,7.2
São Filipe,100,CV,1588039155,76,73.94,14.9,-24.5,3.33
Kapaa,40,US,1588039155,69,80.6,22.08,-159.32,8.7
Florián,100,CO,1588039155,63,64.05799999999999,5.8,-73.97,1.68
Cape Town,0,ZA,1588039037,87,62.006,-33.93,18.42,0.5
Kysyl-Syr,83,RU,1588039156,79,35.51,63.9,122.76,1.21
Saskylakh,43,RU,1588039156,94,21.2,71.92,114.08,0.85
Arraial do Cabo,0,BR,1588039156,69,74.174,-22.97,-42.03,1.97
Esperance,90,AU,1588039156,67,59.0,-33.87,121.9,9.8
Severo-Kuril'sk,94,RU,1588039156,93,33.152,50.68,156.12,7.19
